"source","translation",""
"Items Missing Prices","الأصناف التي تفتقر إلى الأسعار",""
"Item Code","كود الصنف",""
"Item Name","اسم الصنف",""
"Buying Price","سعر الشراء",""
"Selling Price","سعر البيع",""
"Missing","مفقود",""
"Actions","الإجراءات",""
"Show Items","عرض الأصناف",""
"Any Missing","أي سعر مفقود",""
"Missing Buying Only","سعر الشراء مفقود فقط",""
"Missing Selling Only","سعر البيع مفقود فقط",""
"Missing Both","كلاهما مفقود",""
"Add Buying","إضافة سعر الشراء",""
"Add Selling","إضافة سعر البيع",""
"Saving price…","جارٍ حفظ السعر…",""
"Price added for {0}","تم إضافة السعر لـ {0}",""
"Add {0} for {1}","إضافة {0} لـ {1}",""
"Save","حفظ",""
"No Buying Price & No Selling Price","لا يوجد سعر شراء ولا سعر بيع",""
"No Buying Price","لا يوجد سعر شراء",""
"No Selling Price","لا يوجد سعر بيع",""
"Price must be a positive number.","يجب أن يكون السعر رقمًا موجبًا.",""
"Invalid price list.","قائمة أسعار غير صالحة.",""
"From Valuation","من سعر التكلفة",""
"Valuation Rate","سعر التكلفة",""
